location,Kuala Lumpur
lat,2.99990
lon,101.71875
asl,130.207
variable,Temperature
unit,Â°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Kuala Lumpur Temperature [2 m elevation corrected]
20200511T0000,25.952345
20200511T0100,25.802345
20200511T0200,25.732346
20200511T0300,25.632345
20200511T0400,25.562346
20200511T0500,25.492346
20200511T0600,25.372345
20200511T0700,25.222345
20200511T0800,26.492346
20200511T0900,27.092346
20200511T1000,27.502346
20200511T1100,28.112345
20200511T1200,28.382345
20200511T1300,28.582346
20200511T1400,29.142345
20200511T1500,29.072346
20200511T1600,28.892345
20200511T1700,28.632345
20200511T1800,28.542345
20200511T1900,28.152346
20200511T2000,27.512346
20200511T2100,27.212345
20200511T2200,26.832346
20200511T2300,26.542345
20200512T0000,26.282345
20200512T0100,25.962345
20200512T0200,25.682346
20200512T0300,25.492346
20200512T0400,25.372345
20200512T0500,25.242346
20200512T0600,25.082346
20200512T0700,24.822346
20200512T0800,26.202345
20200512T0900,28.192345
20200512T1000,29.152346
20200512T1100,30.122345
20200512T1200,29.362345
20200512T1300,29.182346
20200512T1400,29.072346
20200512T1500,28.902346
20200512T1600,28.772346
20200512T1700,28.582346
20200512T1800,28.922346
20200512T1900,28.322346
20200512T2000,27.352346
20200512T2100,27.122345
20200512T2200,26.872345
20200512T2300,26.572346
20200513T0000,26.332346
20200513T0100,26.082346
20200513T0200,25.812346
20200513T0300,25.612345
20200513T0400,25.552345
20200513T0500,25.422346
20200513T0600,25.302345
20200513T0700,25.172346
20200513T0800,26.352346
20200513T0900,27.342346
20200513T1000,28.322346
20200513T1100,27.802345
20200513T1200,28.102346
20200513T1300,28.382345
20200513T1400,28.492346
20200513T1500,28.762346
20200513T1600,28.982346
20200513T1700,28.812346
20200513T1800,28.682346
20200513T1900,28.152346
20200513T2000,28.042345
20200513T2100,27.482346
20200513T2200,27.112345
20200513T2300,26.772346
20200514T0000,26.482346
20200514T0100,26.242346
20200514T0200,25.832346
20200514T0300,25.562346
20200514T0400,25.332346
20200514T0500,25.072346
20200514T0600,24.862345
20200514T0700,24.632345
20200514T0800,26.182346
20200514T0900,28.312346
20200514T1000,29.542345
20200514T1100,30.162346
20200514T1200,29.352346
20200514T1300,29.382345
20200514T1400,30.322346
20200514T1500,29.262346
20200514T1600,29.112345
20200514T1700,28.882345
20200514T1800,28.532345
20200514T1900,28.412346
20200514T2000,28.012346
20200514T2100,27.652346
20200514T2200,27.332346
20200514T2300,27.012346
20200515T0000,26.702345
20200515T0100,26.392345
20200515T0200,26.142345
20200515T0300,25.902346
20200515T0400,25.622345
20200515T0500,25.382345
20200515T0600,25.202345
20200515T0700,25.052345
20200515T0800,26.392345
20200515T0900,28.322346
20200515T1000,29.212345
20200515T1100,29.562346
20200515T1200,29.862345
20200515T1300,30.172346
20200515T1400,30.602346
20200515T1500,30.522346
20200515T1600,30.292345
20200515T1700,30.042345
20200515T1800,30.092346
20200515T1900,29.142345
20200515T2000,28.792345
20200515T2100,28.262346
20200515T2200,27.902346
20200515T2300,27.602346
20200516T0000,27.462345
20200516T0100,27.212345
20200516T0200,26.852346
20200516T0300,26.802345
20200516T0400,26.522346
20200516T0500,26.572346
20200516T0600,26.282345
20200516T0700,26.122345
20200516T0800,27.302345
20200516T0900,28.272346
20200516T1000,28.632345
20200516T1100,28.802345
20200516T1200,29.172346
20200516T1300,29.432346
20200516T1400,29.682346
20200516T1500,29.532345
20200516T1600,29.442345
20200516T1700,29.222345
20200516T1800,29.052345
20200516T1900,28.632345
20200516T2000,28.672346
20200516T2100,28.472345
20200516T2200,28.222345
20200516T2300,27.912346
20200517T0000,27.632345
20200517T0100,27.372345
20200517T0200,27.072346
20200517T0300,27.012346
20200517T0400,26.702345
20200517T0500,26.912346
20200517T0600,26.482346
20200517T0700,26.342346
20200517T0800,27.042345
20200517T0900,27.562346
20200517T1000,27.942345
20200517T1100,28.162346
20200517T1200,28.212345
20200517T1300,28.222345
20200517T1400,28.172346
20200517T1500,28.092346
20200517T1600,27.952345
20200517T1700,27.772346
20200517T1800,27.512346
20200517T1900,27.502346
20200517T2000,26.822346
20200517T2100,26.322346
20200517T2200,26.092346
20200517T2300,25.812346
20200518T0000,25.572346
20200518T0100,25.402346
20200518T0200,24.992346
20200518T0300,24.882345
20200518T0400,24.912346
20200518T0500,24.852346
20200518T0600,24.792345
20200518T0700,24.722345
20200518T0800,25.092346
20200518T0900,26.122345
20200518T1000,27.812346
20200518T1100,29.182346
20200518T1200,30.202345
20200518T1300,29.652346
20200518T1400,29.622345
20200518T1500,29.412346
20200518T1600,29.322346
20200518T1700,28.522346
20200518T1800,28.372345
20200518T1900,28.242346
20200518T2000,28.902346
20200518T2100,28.332346
20200518T2200,27.932346
20200518T2300,27.532345
20200519T0000,27.152346
20200519T0100,26.782345
20200519T0200,26.482346
20200519T0300,26.372345
20200519T0400,26.172346
20200519T0500,26.022346
20200519T0600,25.862345
20200519T0700,25.422346
20200519T0800,26.872345
20200519T0900,29.152346
20200519T1000,30.372345
20200519T1100,29.562346
20200519T1200,29.632345
20200519T1300,29.612345
20200519T1400,30.942345
20200519T1500,29.602346
20200519T1600,29.972345
20200519T1700,29.252346
20200519T1800,29.852346
20200519T1900,29.202345
20200519T2000,28.492346
20200519T2100,28.222345
20200519T2200,28.032345
20200519T2300,27.932346
20200520T0000,27.842346
20200520T0100,27.712345
20200520T0200,27.792345
20200520T0300,27.592346
20200520T0400,27.612345
20200520T0500,27.562346
20200520T0600,27.142345
20200520T0700,26.692345
20200520T0800,26.832346
20200520T0900,27.232346
20200520T1000,27.922346
20200520T1100,28.742346
20200520T1200,29.992346
20200520T1300,29.302345
20200520T1400,29.222345
20200520T1500,29.292345
20200520T1600,29.032345
20200520T1700,27.982346
20200520T1800,27.892345
20200520T1900,27.622345
20200520T2000,27.322346
20200520T2100,27.152346
20200520T2200,26.942345
20200520T2300,26.642345
20200521T0000,26.352346
20200521T0100,26.362345
20200521T0200,26.232346
20200521T0300,25.862345
20200521T0400,25.842346
20200521T0500,25.742346
20200521T0600,25.472345
20200521T0700,25.402346
20200521T0800,26.682346
20200521T0900,27.782345
20200521T1000,28.742346
20200521T1100,29.412346
20200521T1200,30.302345
20200521T1300,29.632345
20200521T1400,30.782345
20200521T1500,30.092346
20200521T1600,29.972345
20200521T1700,29.332346
20200521T1800,29.872345
20200521T1900,28.892345
20200521T2000,27.962345
20200521T2100,27.492346
20200521T2200,27.172346
20200521T2300,27.032345
20200522T0000,27.082346
20200522T0100,27.082346
20200522T0200,27.142345
20200522T0300,27.042345
20200522T0400,26.922346
20200522T0500,26.942345
20200522T0600,26.852346
20200522T0700,26.862345
20200522T0800,27.262346
20200522T0900,28.562346
20200522T1000,29.472345
20200522T1100,29.432346
20200522T1200,28.762346
20200522T1300,28.622345
20200522T1400,28.212345
20200522T1500,28.672346
20200522T1600,28.472345
20200522T1700,27.932346
20200522T1800,27.602346
20200522T1900,27.442345
20200522T2000,27.352346
20200522T2100,27.072346
20200522T2200,26.942345
20200522T2300,26.872345
20200523T0000,26.742346
20200523T0100,26.692345
20200523T0200,26.542345
20200523T0300,26.292345
20200523T0400,26.142345
20200523T0500,26.032345
20200523T0600,25.932346
20200523T0700,25.742346
20200523T0800,26.052345
20200523T0900,27.152346
20200523T1000,27.972345
20200523T1100,28.432346
20200523T1200,28.712345
20200523T1300,28.052345
20200523T1400,28.292345
20200523T1500,28.272346
20200523T1600,28.252346
20200523T1700,27.912346
20200523T1800,28.412346
20200523T1900,28.052345
20200523T2000,27.422346
20200523T2100,26.822346
20200523T2200,26.262346
20200523T2300,25.832346
20200524T0000,25.502346
20200524T0100,25.422346
20200524T0200,25.332346
20200524T0300,25.282345
20200524T0400,25.232346
20200524T0500,25.292345
20200524T0600,25.252346
20200524T0700,25.542345
20200524T0800,26.132345
20200524T0900,27.642345
20200524T1000,28.412346
20200524T1100,28.372345
20200524T1200,28.532345
20200524T1300,28.612345
20200524T1400,28.742346
20200524T1500,28.582346
20200524T1600,28.422346
20200524T1700,28.032345
20200524T1800,28.392345
20200524T1900,27.642345
20200524T2000,27.222345
20200524T2100,27.102346
20200524T2200,27.032345
20200524T2300,26.862345